strain,sequenced,genome_length_bp,n_small_circular_contigs,n_prophages_depht,n_prophages_html,prophage_names,prophage_lengths,prophage_coords,n_defense_df,n_rm_df,rm_subtypes,df_system_types,df_subtypes,n_defense_padloc,n_rm_padloc,n_rm_dedup,total_defense_systems,assembly_type,species,subspecies,institution,country,eop_phages_tested,eop1_full_count,eop1_fraction,dcc,prophage_clusters,n_prophage_clusters,eop1_phages,eop1_count,eop_partial_phages,eop_partial_count,morphology,morphology_flag,...36,killing_phages,killing_count,killing_flag,phage_susceptible,phage_partial_infection,n_defense_islands,n_defense_island_systems,defense_island_types,defense_island_spots
GD516A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hadassah Medical Center, Israel",NA,30,0,0,NA,NA,0,NA,0,NA,0,S,FALSE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD516B,TRUE,5011129,0,0,0,NA,NA,NA,5,0,NA,AbiAlpha|Aristaios|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|Dnd_ABCDE|Hna|Wadjet_I,10,0,0,15,NA,M. abscessus,abscessus,"Hadassah Medical Center, Israel",NA,30,0,0,DCC1,NA,0,NA,0,NA,0,S,FALSE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD517A,TRUE,5459155,0,0,0,NA,NA,NA,4,0,RM_IV,BREX|CBASS|Ceres|Esos,BREX_II|CBASS_II_Phospholipase|Ceres|Esos,11,1,1,15,NA,M. intracellulare,NA,"Hadassah Medical Center, Israel",NA,11,0,0,NA,NA,0,NA,0,NA,0,S,TRUE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD517B,TRUE,5459464,0,0,0,NA,NA,NA,4,0,RM_IV,BREX|CBASS|Ceres|Esos,BREX_II|CBASS_II_Phospholipase|Ceres|Esos,11,1,1,15,NA,M. intracellulare,NA,"Hadassah Medical Center, Israel",NA,11,0,0,NA,NA,0,NA,0,NA,0,S,TRUE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD518,TRUE,5986713,0,0,0,NA,NA,NA,6,0,NA,Esos|Gabija|Lamassu-Fam|SNIPE|Wadjet,Esos|Gabija|Lamassu_Mrr|SNIPE|Wadjet_III,19,0,0,25,NA,M. simiae,NA,"Hadassah Medical Center, Israel",NA,17,0,0,NA,NA,0,NA,0,NA,0,S,TRUE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD519,TRUE,5038864,0,1,1,prophiGD519_3-1,48755,6424-54574,3,1,RM_I,Ceres|Esos|RM_Type_I,Ceres|Esos|N6_RM_Type_I,9,1,1,12,NA,M. avium,NA,"University Health Network, Toronto, Canada",NA,11,0,0,NA,HI,1,NA,0,NA,0,S,TRUE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD52,TRUE,5353827,1,2,2,prophiGD52_2-1|prophiGD52_6-1,49806|47085,1050488-1100146|197507-244304,10,3,RM_I|RM_IIG,AbiAlpha|Armada|DRT|Dag|RM_Type_I|RM_Type_IIG|RloC|Thoeris|Wadjet,AbiAlpha|Armada_Type_II|DRT9|Dag|N6_RM_Type_I|N6_RM_Type_IIG|RloC|Thoeris_VII|Wadjet_I,12,1,2,22,NA,M. abscessus,abscessus,"Sheffield, UK",NA,33,6,0.1818,DCC2,HC|HE,2,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|Adephagiadel43del45|Itos|Faith1|CrimD,6,NA,0,R,FALSE,TRUE,BPs|Itos|CrimD|Fionnbharth,4,TRUE,TRUE,FALSE,3,5,Armada|Dag|RM_Type_IIG|Wadjet,spot_26|spot_88
GD520,TRUE,4781816,1,2,2,prophiGD520_4-1|prophiGD520_5-1,65732|54779,284930-350163|248212-302832,4,0,NA,Aristaios|CBASS|Dnd|Wadjet,Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Wadjet_I,9,0,0,13,NA,M. abscessus,abscessus,"University Hospital East, Columbus OH",USA,29,0,0,DCC1,HA|A1,2,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD521,TRUE,4948319,1,0,0,NA,NA,NA,11,3,RM_I|RM_IIG,AbiAlpha|Armada|Dag|PhiR47_GevAT|RM_Type_I|RM_Type_IIG|RosmerTA|VP1853|Wadjet,AbiAlpha|Armada_Type_II|Dag|N6_RM_Type_I|N6_RM_Type_IIG|PhiR47_GevAT|RosmerTA|VP1853|Wadjet_I,12,1,2,23,NA,M. abscessus,abscessus,University of Miami,USA,NA,NA,NA,DCC5,NA,0,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,5,5,Dag|PhiR47_GevAT|RosmerTA|VP1853|Wadjet,spot_60|spot_88
GD522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"SeaWorld Antionio, TX",USA,10,0,0,NA,NA,0,NA,0,NA,0,S,TRUE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD523,TRUE,5029804,1,0,0,NA,NA,NA,10,4,RM_I|RM_IIG,AbiAlpha|Armada|RM_Type_I|RM_Type_IIG|RloC|Thoeris|VP1853|Wadjet,AbiAlpha|Armada_Type_II|N6_RM_Type_I|N6_RM_Type_IIG|RloC|Thoeris_VII|VP1853|Wadjet_I,14,1,3,24,NA,M. abscessus,abscessus,University of Miami,USA,29,0,0,DCC2,NA,0,NA,0,Itos,1,R,FALSE,TRUE,BPs,1,TRUE,TRUE,TRUE,2,4,RM_Type_IIG|RloC|VP1853|Wadjet,spot_0
GD524,TRUE,4895802,0,0,0,NA,NA,NA,6,2,RM_I|RM_II|RM_IV,AbiAlpha|Aristaios|DS-29|RM_Type_I|RM_Type_II|Wadjet,AbiAlpha|Aristaios|DNA_met_RM_Type_II_HATPase|DS-29|N6_RM_Type_I|Wadjet_I,11,3,3,17,NA,M. chelonae,NA,UPenn,USA,17,3,0.1765,NA,NA,0,CrimD del del|phML2|Itos,3,phML1,1,R,FALSE,TRUE,CrimD|Adephagia,2,TRUE,TRUE,TRUE,0,0,NA,NA
GD525,TRUE,5197512,0,4,4,prophiGD525_1-1|prophiGD525_1-2|prophiGD525_1-3|prophiGD525_10-1,54460|54613|51351|34445,239621-293576|315625-368778|852231-903434|15785-49350,7,0,NA,AbiAlpha|Aristaios|CBASS|Charlie_gp32|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Charlie_gp32|Dnd_ABCDE|Hna|Wadjet_I,12,0,0,19,NA,M. abscessus,abscessus,Children’s Hospital Los Angeles,NA,29,2,0.069,DCC1,HD|HG|HC|HA,4,phAK2|phAK20,2,phAK29|phi-T45|MyMabF,3,S,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,2,2,AbiAlpha|Aristaios,spot_32
GD526A,TRUE,5160667,0,2,2,prophiGD526A_14-1|prophiGD526A_23-1,64499|38415,52-63359|967-38215,8,1,RM_IIG,AbiAlpha|Aristaios|CBASS|Dnd|HEC-09|Hna|RM_Type_IIG|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|HEC-09|Hna|N6_RM_Type_IIG|Wadjet_I,13,1,1,21,NA,M. abscessus,abscessus,University of Washington Medical Centers,NA,NA,NA,NA,DCC1,HA|HB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CBASS,spot_3
GD526A-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,University of Washington Medical Centers,NA,29,1,0.0345,NA,NA,0,phMGD4,1,NA,0,R,FALSE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD526A-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,University of Washington Medical Centers,NA,29,1,0.0345,NA,NA,0,phMGD4,1,NA,0,R,FALSE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD526B,TRUE,5153485,0,1,1,prophiGD526B_13-1,64498,56942-120249,8,1,RM_IIG,AbiAlpha|Aristaios|CBASS|Dnd|HEC-09|Hna|RM_Type_IIG|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|HEC-09|Hna|N6_RM_Type_IIG|Wadjet_I,13,1,1,21,NA,M. abscessus,abscessus,University of Washington Medical Centers,NA,29,1,0.0345,DCC1,HA,1,phMGD4,1,NA,0,S,FALSE,NA,NA,NA,NA,NA,FALSE,3,3,CBASS|HEC-09|Hna,spot_3
GD526C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,University of Washington Medical Centers,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
GD527A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Indianna University,USA,11,0,0,NA,NA,0,NA,0,NA,0,No Morphology,FALSE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD527B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Indianna University,USA,11,0,0,NA,NA,0,NA,0,NA,0,No Morphology,FALSE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD528,TRUE,4808749,0,0,0,NA,NA,NA,4,0,NA,BREX|Ceres|Esos,BREX_II|Ceres|Esos,17,0,0,21,NA,M. xenopi,NA,UC irvine,USA,13,0,0,NA,NA,0,NA,0,phMGD1|phMGD2,2,R,FALSE,TRUE,Fionnbharth,1,TRUE,TRUE,TRUE,0,0,NA,NA
GD529,TRUE,5100230,0,2,2,prophiGD529_2-1|prophiGD529_3-1,41229|52085,341734-382824|609005-660569,8,3,RM_I|RM_IIG,AbiAlpha|CBASS|Other_Type_IV|RM_Type_I|RM_Type_IIG|Wadjet,AbiAlpha|CBASS_II_Phospholipase|CBASS_I_TM|N6_RM_Type_I|N6_RM_Type_IIG|Other_Type_IV|Wadjet_I,13,1,3,21,NA,M. abscessus,massiliense,UPMC Pittsburgh,NA,28,2,0.0714,DCC7,HN|HD,2,Muddy_HRM-N0052|phMEW1,2,NA,0,I,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,4,5,AbiAlpha|CBASS|RM_Type_I|Wadjet,spot_44
GD53,TRUE,5095263,0,3,3,prophiGD53_1-1|prophiGD53_1-2|prophiGD53_1-3,78799|60432|41928,838471-3629840|2352841-2412885|4831106-4872468,5,1,RM_I,AbiAlpha|Butters_gp57r|RM_Type_I|Wadjet,AbiAlpha|Butters_gp57r|N6_RM_Type_I|Wadjet_I,8,0,1,13,NA,M. abscessus,massiliense,"Lebanon, NH",USA,38,0,0,DCC3,HK|HE|HN,3,NA,0,Muddy|Muddy_HRM-GD04,2,S,FALSE,FALSE,NA,0,FALSE,FALSE,TRUE,0,0,NA,NA
GD530,TRUE,5084734,1,2,2,prophiGD530_1-1|prophiGD530_7-1,41229|52085,369615-410705|121040-172559,7,2,RM_I|RM_IIG,AbiAlpha|AbiD|CBASS|Other_Type_IV|RM_Type_I|RM_Type_IIG|Wadjet,AbiAlpha|AbiD|CBASS_II_Phospholipase|N6_RM_Type_I|N6_RM_Type_IIG|Other_Type_IV|Wadjet_I,12,0,2,19,NA,M. abscessus,massiliense,UPMC Pittsburgh,NA,28,2,0.0714,DCC7,HN|HD,2,Muddy_HRM-N0052|phMEW1,2,NA,0,I,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,2,2,AbiD|CBASS,spot_44
GD531,TRUE,5089917,1,2,2,prophiGD531_1-1|prophiGD531_3-1,41229|52085,464525-505615|20616-72135,8,3,RM_I|RM_IIG,AbiAlpha|CBASS|Other_Type_IV|RM_Type_I|RM_Type_IIG|Wadjet,AbiAlpha|CBASS_II_Phospholipase|CBASS_I_TM|N6_RM_Type_I|N6_RM_Type_IIG|Other_Type_IV|Wadjet_I,13,1,3,21,NA,M. abscessus,massiliense,UPMC Pittsburgh,NA,28,2,0.0714,DCC7,HN|HD,2,Muddy_HRM-N0052|phMEW1,2,NA,0,I,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,2,3,AbiAlpha|CBASS|RM_Type_IIG,spot_44
GD532,TRUE,5090506,1,2,2,prophiGD532_1-1|prophiGD532_8-1,41229|52085,409751-450841|20616-72135,8,3,RM_I|RM_IIG,AbiAlpha|CBASS|Other_Type_IV|RM_Type_I|RM_Type_IIG|Wadjet,AbiAlpha|CBASS_II_Phospholipase|CBASS_I_TM|N6_RM_Type_I|N6_RM_Type_IIG|Other_Type_IV|Wadjet_I,13,1,3,21,NA,M. abscessus,massiliense,UPMC Pittsburgh,NA,28,2,0.0714,DCC7,HN|HD,2,Muddy_HRM-N0052|phMEW1,2,NA,0,I,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,2,2,AbiAlpha|CBASS,NA
GD533,TRUE,5072046,0,3,3,prophiGD533_1-1|prophiGD533_4-1|prophiGD533_8-1,41229|64282|52085,369615-410705|73191-137111|177482-229001,8,3,RM_I|RM_IIG,AbiAlpha|CBASS|Other_Type_IV|RM_Type_I|RM_Type_IIG|Wadjet,AbiAlpha|CBASS_II_Phospholipase|CBASS_I_TM|N6_RM_Type_I|N6_RM_Type_IIG|Other_Type_IV|Wadjet_I,13,1,3,21,NA,M. abscessus,massiliense,UPMC Pittsburgh,NA,28,2,0.0714,DCC7,HN|HA|HD,3,Muddy_HRM-N0052|phMEW1,2,NA,0,I,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,3,5,AbiAlpha|CBASS|Other_Type_IV|RM_Type_I|RM_Type_IIG,spot_14|spot_44
GD534,TRUE,7060970,1,2,2,prophiGD543-1|prophiGD543-2,94976|54859,1570426-6666473|2978245-3032928,11,3,RM_I|RM_II,AbiAlpha|Avs|CBASS|Ceres|Dag|Esos|McrBC|RM_Type_I|RM_Type_II|Wadjet,AbiAlpha|Avs4|CBASS_I_TM|Ceres|Dag|Esos|McrBC|N6_N4_RM_Type_II_HATPase|N6_RM_Type_I|N6_RM_Type_II_PDDEXK|Wadjet_I,18,0,3,29,NA,boenickei,NA,"Mayo Clinic of Rochester, Minnesota",USA,16,1,0.0625,NA,X|unclustered,1,Itos,1,NA,0,S,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,0,0,NA,NA
GD535,TRUE,4833248,0,0,0,NA,NA,NA,4,0,NA,BREX|Ceres|Esos,BREX_II|Ceres|Esos,16,0,0,20,NA,M. xenopi,NA,Queen Elizabeth University Hospital,United Kingdom,11,0,0,NA,NA,0,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD536,TRUE,5172655,0,1,1,prophiGD536_1-1,54448,557901-612016,10,1,RM_IIG,AbiAlpha|Aristaios|CBASS|Dag|DarTG|Dnd|Hna|RM_Type_IIG|VP1853|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dag|DarTG|Dnd_ABCDE|Hna|N6_RM_Type_IIG|VP1853|Wadjet_I,14,1,1,24,NA,M. abscessus,abscessus,Queen Elizabeth University Hospital,United Kingdom,30,4,0.1333,DCC1,HG,1,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|phKSW1|BPsHRM10_pMC09,4,NA,0,R,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,4,6,AbiAlpha|CBASS|Dag|DarTG|RM_Type_IIG|VP1853,spot_0|spot_3
GD537,TRUE,5190523,1,3,3,prophiGD537_1-1|prophiGD537_5-1|prophiGD537_8-1,52874|65726|54885,261244-313785|74-65346|153153-207888,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,Queen Elizabeth University Hospital,United Kingdom,29,4,0.1379,DCC1,HG|HA|A1,3,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|phKSW1|BPsHRM10_pMC09,4,NA,0,S,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,2,2,AbiAlpha|CBASS,spot_3|spot_32
GD538,TRUE,5204296,1,3,3,prophiGD538-1|prophiGD538-2|prophiGD538-3,61572|64701|66366,1753000-1814123|1884100-1948544|3563436-3629545,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,UC San Diego Health,USA,29,6,0.2069,DCC1,HA|AD|AD,2,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|phKSW1|BPsHRM10_pMC09|phAK2|Snailtales,6,NA,0,R,FALSE,TRUE,BPs,1,TRUE,TRUE,FALSE,3,3,AbiAlpha|Aristaios|CBASS,spot_3|spot_32|spot_49
GD539,TRUE,5204296,1,3,3,prophiGD539-1|prophiGD539-2|prophiGD539-3,61572|64701|66366,1753000-1814123|1884100-1948544|3563436-3629545,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,UC San Diego Health,USA,29,6,0.2069,DCC1,HA|AD|AD,2,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|phKSW1|BPsHRM10_pMC09|phAK2|Snailtales,6,NA,0,R,FALSE,TRUE,BPs,1,TRUE,TRUE,FALSE,3,3,AbiAlpha|Aristaios|CBASS,spot_3|spot_32|spot_49
GD540,TRUE,5191317,1,1,1,prophiGD540_3-1,61572,308311-369434,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,UC San Diego Health,USA,29,6,0.2069,DCC1,HA,1,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|phKSW1|BPsHRM10_pMC09|phAK2|Snailtales,6,NA,0,R,FALSE,TRUE,BPs,1,TRUE,TRUE,FALSE,2,2,Aristaios|CBASS,spot_3|spot_49
GD541A,TRUE,4959914,0,2,2,prophiGD541A_2-1|prophiGD541A_8-1,64402|60552,393466-456312|73147-133338,5,2,RM_I|RM_IIG,AbiAlpha|RM_Type_I|RM_Type_IIG|Shedu|Wadjet,AbiAlpha|N6_RM_Type_I|N6_RM_Type_IIG|Shedu|Wadjet_I,12,1,2,17,NA,M. abscessus,massiliense,The Children’s Hospital at Westmead,Australia,31,0,0,DCC3,A1|IA,2,NA,0,NA,0,I,FALSE,NA,NA,NA,NA,NA,FALSE,3,3,AbiAlpha|RM_Type_I|Shedu,spot_13|spot_14|spot_39
GD541B,TRUE,4473630,1,4,4,prophiGD541B-1|prophiGD541B-2|prophiGD541B-3|prophipGD541B-1,60552|64402|49443|22335,1141816-1202007|1775892-1838738|1-4005773|7018-28134,5,2,RM_I|RM_IIG,AbiAlpha|RM_Type_I|RM_Type_IIG|Shedu|Wadjet,AbiAlpha|N6_RM_Type_I|N6_RM_Type_IIG|Shedu|Wadjet_I,12,1,2,17,NA,M. abscessus,massiliense,The Children’s Hospital at Westmead,Australia,31,0,0,Unassigned,IA|A1|HO|HO,3,NA,0,NA,0,I,FALSE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD542A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,The Children’s Hospital at Westmead,Australia,31,0,0,NA,NA,0,NA,0,NA,0,I,FALSE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD542B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,The Children’s Hospital at Westmead,Australia,31,0,0,NA,NA,0,NA,0,NA,0,I,FALSE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD542C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,The Children’s Hospital at Westmead,Australia,31,0,0,NA,NA,0,NA,0,NA,0,I,FALSE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD542D,TRUE,4903888,0,2,2,prophiGD542D-1|prophiGD542D-2,60552|48101,1141816-1202007|3902371-3950332,5,2,RM_I|RM_IIG,AbiAlpha|RM_Type_I|RM_Type_IIG|Shedu|Wadjet,AbiAlpha|N6_RM_Type_I|N6_RM_Type_IIG|Shedu|Wadjet_I,12,1,2,17,NA,M. abscessus,massiliense,The Children’s Hospital at Westmead,Australia,31,0,0,DCC3,IA|HO,2,NA,0,NA,0,I,FALSE,NA,NA,NA,NA,NA,FALSE,1,1,AbiAlpha,spot_14
GD543,TRUE,5118253,0,2,0,prophiGD543-1|prophiGD543-2,NA,NA,9,2,RM_III|RM_IIG,AbiAlpha|CBASS|Dag|RM_Type_IIG|RM_Type_III|RloC|RosmerTA|VP1853|Wadjet,AbiAlpha|CBASS_II_Phospholipase|Dag|N6_N4_RM_Type_III|N6_RM_Type_IIG|RloC|RosmerTA|VP1853|Wadjet_I,15,2,2,24,NA,M. abscessus,abscessus,"BC Center for Disease Control, Vancuver, Canada",NA,31,6,0.1935,DCC4,X|unclustered,1,Muddy|Muddy_HRM-GD04|Muddy_HRM-N0052|phMEW1|phi-T45|phTGR04,6,phAK2|phAK20|phTGR7,3,R,FALSE,TRUE,BPs|Muddy|phAK20|phTGR07,4,TRUE,TRUE,TRUE,3,4,CBASS|RM_Type_IIG|RosmerTA|VP1853,spot_0|spot_3|spot_66
GD544,TRUE,4952699,0,2,2,prophiGD544-1|prophiGD544-2,92318|77687,750255-2959566|3244749-3319408,5,1,RM_II,AbiAlpha|Gabija|RM_Type_II|Wadjet,AbiAlpha|DNA_met_RM_Type_II_PDDEXK|Gabija|Wadjet_I,12,1,1,17,NA,M. abscessus,abscessus,"Radboud University Medical Center, Netherlands",NA,31,0,0,DCC4,HC|M,2,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,1,1,RM_Type_II,spot_88
GD545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"University of Washington, Seattle, WA",NA,31,9,0.2903,NA,NA,0,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|phKSW1|phMGD4|BPsHRM10_pMC09|phAK2|phAK20|phAK29|phi-T45,9,phTGR04,1,R,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,0,0,NA,NA
GD546,TRUE,4336264,0,0,0,NA,NA,NA,10,3,RM_I|RM_IIG,AbiE|Ceres|HEC-09|Hma|Prometheus|RM_Type_I|RM_Type_IIG|RosmerTA|VP1853,AbiE|Ceres|HEC-09|Hma|N6_RM_Type_I|N6_RM_Type_IIG|Prometheus|RosmerTA|VP1853,18,2,3,28,NA,M. arupensis,NA,"University of Pisa, Italy",Italy,19,0,0,NA,NA,0,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD547A,TRUE,4793638,0,0,0,NA,NA,NA,8,1,RM_IIG,AbiAlpha|DRT|Hna|RM_Type_IIG|RloC|Shedu|Wadjet,AbiAlpha|DRT9|Hna|N6_RM_Type_IIG|RloC|Shedu|Wadjet_I,13,1,1,21,NA,M. abscessus,abscessus,"University of Pisa, Italy",Italy,31,5,0.1613,DCC5,NA,0,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|phKSW1|phMGD4|BPsHRM10_pMC09,5,phTGR04,1,R,FALSE,TRUE,BPs,1,TRUE,TRUE,TRUE,1,1,Wadjet,NA
GD547B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"University of Pisa, Italy",Italy,31,0,0,NA,NA,0,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,0,0,NA,NA
GD548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,University of Southern California,NA,32,1,0.0312,NA,NA,0,phMEW1,1,NA,0,S,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,0,0,NA,NA
GD549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,UC San Diego Health,USA,31,9,0.2903,NA,NA,0,phKSW1|phMGD4|phML1|Fionnbharthdel45del47|phMGD1|CrimD del del|phSY1|phML2|Itos,9,phAK2|phiABC35|phTGR7,3,S,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,0,0,NA,NA
GD54H,TRUE,5186935,0,2,2,prophiGD54H-1|prophiGD54H-2,60696|79056,1853798-1913374|3373980-3451504,8,4,RM_I|RM_IIG,AbiAlpha|Armada|RM_Type_I|RM_Type_IIG|Thoeris|Wadjet,AbiAlpha|Armada_Type_II|N6_RM_Type_I|N6_RM_Type_IIG|Thoeris_VII|Wadjet_I,10,1,3,18,NA,M. abscessus,abscessus,The Children’s Hospital at Westmead,Australia,38,5,0.1316,DCC2,HE|M,2,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|Muddy|Muddy_HRM-GD04|phiGD20-1,5,NA,0,R,FALSE,NA,NA,NA,NA,NA,FALSE,1,1,Thoeris,spot_54
GD55,TRUE,4986068,0,1,1,prophiGD55_1-1,66452,5596-71791,6,1,RM_III,AbiAlpha|CBASS|RM_Type_III|RloC|RosmerTA|Wadjet,AbiAlpha|CBASS_II_Phospholipase|N6_N4_RM_Type_III|RloC|RosmerTA|Wadjet_I,12,1,1,18,NA,M. abscessus,abscessus,"Cincinnati Children's Hospital, OH",USA,40,0,0,DCC4,AD,1,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,2,2,RosmerTA|Wadjet,NA
GD550,TRUE,4733051,0,0,0,NA,NA,NA,5,0,NA,AbiAlpha|Dnd|Hna|Shedu|Wadjet,AbiAlpha|Dnd_ABCDE|Hna|Shedu|Wadjet_I,8,0,0,13,NA,M. abscessus,abscessus,Childrens Hospital Los Angeles,NA,31,5,0.1613,DCC4,NA,0,Muddy|Muddy_HRM-GD04|Muddy_HRM-N0052|phMEW1|phAK31,5,phAK27,1,R,FALSE,TRUE,Muddy,1,TRUE,TRUE,TRUE,2,3,Dnd|Hna|Shedu,spot_34
GD551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Scripps Memorial Hospital, La Jolla, CA",USA,31,2,0.0645,NA,NA,0,Muddy_HRM-N0052|phMEW1,2,NA,0,R,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,0,0,NA,NA
GD552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"University Health Network, Toronto, Canada",NA,31,2,0.0645,NA,NA,0,Muddy_HRM-N0052|phMEW1,2,NA,0,S,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,0,0,NA,NA
